
0 0 0 0 0 0 	0.000000	0.000001	14
0 0 0 1 1 1 	60.023000	0.000001	26
0 0 0 3 1 2 	326.153747	0.001768	8
1 0 0 2 1 1 	3167.115996	0.001890	7
0 0 0 3 0 3 	251.376252	0.002035	8
1 0 0 2 0 2 	3123.311928	0.002233	6
0 0 0 3 1 3 	254.053742	0.000005	10
1 0 0 2 1 2 	3128.867841	0.001890	7
0 0 0 2 1 1 	175.928203	0.000005	12
1 0 0 1 1 0 	3063.299281	0.002236	5
0 0 0 2 0 2 	131.652645	0.000005	13
1 0 0 1 0 1 	3038.177458	0.002236	5
0 0 0 2 1 2 	138.852284	0.000004	18
1 0 0 1 1 1 	3050.488961	0.002500	4
0 0 0 1 0 1 	45.701106	0.000001	21
1 0 0 0 0 0 	2992.504106	0.002887	3
0 0 0 3 3 0 	459.822846	0.002500	4
1 0 0 3 3 1 	3434.886846	0.003536	2
0 0 0 1 1 0 	72.445638	0.000001	22
0 0 0 3 3 1 	458.335246	0.002500	4
1 0 0 3 3 0 	3436.827246	0.003536	2
0 0 0 2 2 0 	223.856846	0.000001	8
1 0 0 2 2 1 	3203.843446	0.002887	3
0 0 0 2 2 1 	218.653675	0.000001	12
1 0 0 2 2 0 	3209.816818	0.002887	3
1 0 0 3 1 3 	3243.059493	0.002887	3
1 0 0 3 0 3 	3241.297645	0.003536	2
1 0 0 4 1 4 	3391.060742	0.003536	2
1 0 0 4 0 4 	3390.573252	0.003536	2
1 0 0 3 1 2 	3317.059382	0.002887	3
1 0 0 4 1 3 	3505.126747	0.003536	2
0 0 0 4 1 4 	403.672911	0.001890	7
0 0 0 3 2 1 	376.340551	0.000004	4
1 0 0 3 2 2 	3339.854613	0.003536	2
0 0 0 3 2 2 	354.777960	0.000004	10
1 0 0 3 2 1 	3363.900903	0.003536	2
1 0 0 4 2 3 	3515.748960	0.005000	1
1 0 0 5 1 5 	3572.374911	0.005000	1
1 0 0 4 2 2 	3570.303551	0.005000	1
0 0 0 4 1 3 	516.148742	0.003536	2
1 0 0 5 1 4 	3724.335742	0.005000	1
0 0 0 6 1 6 	801.773211	0.001000	1
0 1 0 5 1 5 	2694.330911	0.000981	2
0 0 0 5 1 4 	738.766911	0.001000	1
0 1 0 4 1 3 	2690.790911	0.000981	2
0 1 0 3 1 3 	2416.682911	0.005000	1
0 1 0 2 1 1 	2379.364515	0.003536	2
0 1 0 2 2 1 	2415.462302	0.003536	2
0 1 0 2 0 2 	2318.334252	0.005000	1
0 1 0 2 1 2 	2322.733742	0.005000	1
0 1 0 4 1 4 	2540.186246	0.005000	1
0 1 0 1 1 0 	2278.416101	0.003536	2
0 0 1 2 2 1 	2568.457627	0.002879	4
0 0 1 2 2 0 	2569.561246	0.003522	3
0 1 0 1 0 1 	2246.697822	0.003536	2
0 1 0 1 1 1 	2258.789961	0.003536	2
0 0 1 2 1 1 	2512.478484	0.002887	3
0 1 0 0 0 0 	2205.877106	0.005000	1
0 0 1 1 1 0 	2409.317675	0.005000	1
0 1 0 2 2 0 	2427.069390	0.003536	2
0 0 1 2 0 2 	2477.758315	0.002887	3
